Test loss: 0.8787, Test accuracy: 0.6546
Test loss: 0.7479, Test accuracy: 0.6919
Test loss: 0.9895, Test accuracy: 0.6199
Test loss: 0.6824, Test accuracy: 0.7066
Test loss: 1.3664, Test accuracy: 0.5298
Test loss: 1.0315, Test accuracy: 0.6179
Test loss: 1.7064, Test accuracy: 0.1171
Test loss: 1.1332, Test accuracy: 0.5831
Test loss: 1.2134, Test accuracy: 0.5854
Test loss: 1.5905, Test accuracy: 0.2746
Test loss: 1.1213, Test accuracy: 0.4817
Test loss: 1.0277, Test accuracy: 0.5358
Test loss: 1.4874, Test accuracy: 0.2486
Test loss: 0.7747, Test accuracy: 0.6740
Test loss: 0.9410, Test accuracy: 0.6359
Test loss: 1.7667, Test accuracy: 0.2468
Test loss: 1.0580, Test accuracy: 0.5993
Test loss: 0.8142, Test accuracy: 0.6771
Test loss: 1.3003, Test accuracy: 0.5454
Test loss: 2.1922, Test accuracy: 0.1035
