Test loss: 0.3989, Test accuracy: 0.8604
Test loss: 0.4892, Test accuracy: 0.8338
Test loss: 0.4499, Test accuracy: 0.8467
Test loss: 0.7672, Test accuracy: 0.7790
Test loss: 0.3532, Test accuracy: 0.8738
Test loss: 0.6092, Test accuracy: 0.8012
Test loss: 0.6973, Test accuracy: 0.7869
Test loss: 0.2359, Test accuracy: 0.9161
Test loss: 0.5651, Test accuracy: 0.8161
Test loss: 0.6490, Test accuracy: 0.7953
Test loss: 0.9522, Test accuracy: 0.7459
Test loss: 0.3885, Test accuracy: 0.8728
Test loss: 0.8340, Test accuracy: 0.7679
Test loss: 0.4162, Test accuracy: 0.8514
Test loss: 0.8722, Test accuracy: 0.7692
Test loss: 0.5229, Test accuracy: 0.8324
Test loss: 0.8755, Test accuracy: 0.7518
Test loss: 0.3047, Test accuracy: 0.8797
Test loss: 0.2970, Test accuracy: 0.8954
Test loss: 0.4257, Test accuracy: 0.8554
