Test loss: 0.3484, Test accuracy: 0.8676
Test loss: 0.5998, Test accuracy: 0.7985
Test loss: 0.4780, Test accuracy: 0.8348
Test loss: 0.5547, Test accuracy: 0.8188
Test loss: 0.3715, Test accuracy: 0.8632
Test loss: 0.3568, Test accuracy: 0.8614
Test loss: 0.3925, Test accuracy: 0.8576
Test loss: 0.5643, Test accuracy: 0.8239
Test loss: 0.3268, Test accuracy: 0.8739
Test loss: 0.2772, Test accuracy: 0.8928
Test loss: 0.2852, Test accuracy: 0.8818
Test loss: 0.3340, Test accuracy: 0.8795
Test loss: 0.4585, Test accuracy: 0.8452
Test loss: 0.4129, Test accuracy: 0.8568
Test loss: 0.3739, Test accuracy: 0.8606
Test loss: 0.6074, Test accuracy: 0.8231
Test loss: 0.3918, Test accuracy: 0.8548
Test loss: 0.6110, Test accuracy: 0.8092
Test loss: 0.3591, Test accuracy: 0.8653
Test loss: 0.2736, Test accuracy: 0.8869
