Test loss: 0.7105, Test accuracy: 0.7842
Test loss: 0.3192, Test accuracy: 0.8772
Test loss: 0.5858, Test accuracy: 0.8121
Test loss: 0.3575, Test accuracy: 0.8667
Test loss: 0.6991, Test accuracy: 0.7943
Test loss: 0.8565, Test accuracy: 0.7635
Test loss: 0.7366, Test accuracy: 0.7821
Test loss: 0.3801, Test accuracy: 0.8699
Test loss: 0.8563, Test accuracy: 0.7581
Test loss: 0.6804, Test accuracy: 0.8039
Test loss: 0.3075, Test accuracy: 0.8807
Test loss: 0.4373, Test accuracy: 0.8462
Test loss: 0.5946, Test accuracy: 0.8094
Test loss: 0.4810, Test accuracy: 0.8350
Test loss: 0.5576, Test accuracy: 0.8113
Test loss: 0.2660, Test accuracy: 0.8951
Test loss: 0.6117, Test accuracy: 0.8174
Test loss: 0.5671, Test accuracy: 0.8172
Test loss: 0.4328, Test accuracy: 0.8454
Test loss: 0.7605, Test accuracy: 0.7893
