Test loss: 1.3765, Test accuracy: 0.6953
Test loss: 1.0393, Test accuracy: 0.7455
Test loss: 1.6532, Test accuracy: 0.6840
Test loss: 1.7425, Test accuracy: 0.6796
Test loss: 1.2809, Test accuracy: 0.6947
Test loss: 1.6284, Test accuracy: 0.6770
Test loss: 1.3221, Test accuracy: 0.7201
Test loss: 1.0151, Test accuracy: 0.7476
Test loss: 1.4815, Test accuracy: 0.7036
Test loss: 1.9871, Test accuracy: 0.6454
Test loss: 1.3609, Test accuracy: 0.7183
Test loss: 1.2314, Test accuracy: 0.7344
Test loss: 1.4981, Test accuracy: 0.6880
Test loss: 1.3587, Test accuracy: 0.6885
Test loss: 1.7901, Test accuracy: 0.6642
Test loss: 1.6649, Test accuracy: 0.6794
Test loss: 1.3408, Test accuracy: 0.7149
Test loss: 0.9622, Test accuracy: 0.7236
Test loss: 1.4639, Test accuracy: 0.6970
Test loss: 1.2309, Test accuracy: 0.7290
