Test loss: 1.9280, Test accuracy: 0.6436
Test loss: 2.1088, Test accuracy: 0.6243
Test loss: 2.5750, Test accuracy: 0.5832
Test loss: 1.6318, Test accuracy: 0.6765
Test loss: 2.0882, Test accuracy: 0.6214
Test loss: 2.7050, Test accuracy: 0.5905
Test loss: 1.8603, Test accuracy: 0.6576
Test loss: 1.8354, Test accuracy: 0.6437
Test loss: 2.0303, Test accuracy: 0.6296
Test loss: 1.9820, Test accuracy: 0.6321
Test loss: 2.1679, Test accuracy: 0.6150
Test loss: 2.0191, Test accuracy: 0.5744
Test loss: 2.0118, Test accuracy: 0.6248
Test loss: 2.9197, Test accuracy: 0.5569
Test loss: 1.9510, Test accuracy: 0.6461
Test loss: 1.4053, Test accuracy: 0.6913
Test loss: 1.8691, Test accuracy: 0.6363
Test loss: 1.9952, Test accuracy: 0.6286
Test loss: 1.9367, Test accuracy: 0.6352
Test loss: 1.4409, Test accuracy: 0.6903
