Test loss: 2.3926, Test accuracy: 0.6062
Test loss: 2.0544, Test accuracy: 0.6336
Test loss: 2.0111, Test accuracy: 0.6235
Test loss: 2.0094, Test accuracy: 0.6343
Test loss: 1.8645, Test accuracy: 0.6463
Test loss: 1.9989, Test accuracy: 0.6389
Test loss: 1.8282, Test accuracy: 0.6455
Test loss: 2.2641, Test accuracy: 0.6074
Test loss: 2.3804, Test accuracy: 0.6027
Test loss: 1.8434, Test accuracy: 0.6454
Test loss: 2.5381, Test accuracy: 0.5955
Test loss: 2.3828, Test accuracy: 0.5977
Test loss: 1.9902, Test accuracy: 0.6392
Test loss: 2.1199, Test accuracy: 0.6288
Test loss: 2.4108, Test accuracy: 0.5903
Test loss: 2.2898, Test accuracy: 0.6179
Test loss: 1.6814, Test accuracy: 0.6696
Test loss: 1.7804, Test accuracy: 0.6601
Test loss: 2.7506, Test accuracy: 0.5825
Test loss: 1.6564, Test accuracy: 0.6673
