Test loss: 1.8872, Test accuracy: 0.6446
Test loss: 2.6673, Test accuracy: 0.5901
Test loss: 2.3117, Test accuracy: 0.6129
Test loss: 2.6053, Test accuracy: 0.5888
Test loss: 2.4231, Test accuracy: 0.5951
Test loss: 1.5708, Test accuracy: 0.6887
Test loss: 2.1707, Test accuracy: 0.6295
Test loss: 1.4677, Test accuracy: 0.6859
Test loss: 1.4400, Test accuracy: 0.6917
Test loss: 2.3877, Test accuracy: 0.5841
Test loss: 3.0075, Test accuracy: 0.5675
Test loss: 2.5520, Test accuracy: 0.5985
Test loss: 1.9055, Test accuracy: 0.6362
Test loss: 1.7395, Test accuracy: 0.6605
Test loss: 2.2461, Test accuracy: 0.6149
Test loss: 1.6911, Test accuracy: 0.6611
Test loss: 1.8627, Test accuracy: 0.6420
Test loss: 2.0706, Test accuracy: 0.6319
Test loss: 2.1827, Test accuracy: 0.6167
Test loss: 3.2585, Test accuracy: 0.5448
