Test loss: 2.4083, Test accuracy: 0.6047
Test loss: 2.7143, Test accuracy: 0.5863
Test loss: 2.1502, Test accuracy: 0.6275
Test loss: 1.5946, Test accuracy: 0.6771
Test loss: 1.9804, Test accuracy: 0.6359
Test loss: 2.4477, Test accuracy: 0.6028
Test loss: 2.2548, Test accuracy: 0.6050
Test loss: 2.4244, Test accuracy: 0.5811
Test loss: 1.9924, Test accuracy: 0.5647
Test loss: 2.6023, Test accuracy: 0.5808
Test loss: 2.8181, Test accuracy: 0.5624
Test loss: 2.1252, Test accuracy: 0.6269
Test loss: 2.4689, Test accuracy: 0.5967
Test loss: 2.7490, Test accuracy: 0.5670
Test loss: 2.1911, Test accuracy: 0.6126
Test loss: 1.4772, Test accuracy: 0.6114
Test loss: 2.4203, Test accuracy: 0.5880
Test loss: 2.7941, Test accuracy: 0.5729
Test loss: 1.9250, Test accuracy: 0.6405
Test loss: 2.6705, Test accuracy: 0.5852
