Test loss: 2.3279, Test accuracy: 0.6027
Test loss: 1.7849, Test accuracy: 0.6579
Test loss: 2.3038, Test accuracy: 0.6051
Test loss: 2.3895, Test accuracy: 0.6032
Test loss: 1.6013, Test accuracy: 0.6695
Test loss: 2.4348, Test accuracy: 0.6065
Test loss: 2.1564, Test accuracy: 0.6120
Test loss: 1.8039, Test accuracy: 0.6581
Test loss: 2.3668, Test accuracy: 0.6124
Test loss: 2.5694, Test accuracy: 0.5827
Test loss: 2.5333, Test accuracy: 0.5962
Test loss: 2.2680, Test accuracy: 0.5712
Test loss: 1.8170, Test accuracy: 0.6504
Test loss: 1.6516, Test accuracy: 0.6789
Test loss: 1.5944, Test accuracy: 0.6827
Test loss: 2.1125, Test accuracy: 0.6268
Test loss: 1.7472, Test accuracy: 0.6612
Test loss: 2.1776, Test accuracy: 0.6195
Test loss: 2.3609, Test accuracy: 0.6057
Test loss: 2.0212, Test accuracy: 0.6424
