Test loss: 2.5942, Test accuracy: 0.5918
Test loss: 1.7621, Test accuracy: 0.6448
Test loss: 2.0802, Test accuracy: 0.6236
Test loss: 1.5091, Test accuracy: 0.6720
Test loss: 2.0794, Test accuracy: 0.6271
Test loss: 1.7288, Test accuracy: 0.6659
Test loss: 2.5434, Test accuracy: 0.5841
Test loss: 2.0854, Test accuracy: 0.6326
Test loss: 1.5932, Test accuracy: 0.6799
Test loss: 2.1007, Test accuracy: 0.6264
Test loss: 2.5867, Test accuracy: 0.5872
Test loss: 1.8397, Test accuracy: 0.6293
Test loss: 2.0572, Test accuracy: 0.6338
Test loss: 2.0136, Test accuracy: 0.6394
Test loss: 2.0596, Test accuracy: 0.6207
Test loss: 2.4614, Test accuracy: 0.5922
Test loss: 2.1393, Test accuracy: 0.6283
Test loss: 2.4096, Test accuracy: 0.6088
Test loss: 1.6474, Test accuracy: 0.6741
Test loss: 1.8035, Test accuracy: 0.6580
