Test loss: 2.1505, Test accuracy: 0.6237
Test loss: 2.7248, Test accuracy: 0.5784
Test loss: 2.0864, Test accuracy: 0.6369
Test loss: 1.5142, Test accuracy: 0.6786
Test loss: 2.2690, Test accuracy: 0.6147
Test loss: 1.9040, Test accuracy: 0.6463
Test loss: 3.2010, Test accuracy: 0.5563
Test loss: 1.6483, Test accuracy: 0.6306
Test loss: 1.6580, Test accuracy: 0.6717
Test loss: 1.4935, Test accuracy: 0.6874
Test loss: 2.3296, Test accuracy: 0.6026
Test loss: 1.9118, Test accuracy: 0.6452
Test loss: 2.0057, Test accuracy: 0.6637
Test loss: 2.1647, Test accuracy: 0.6247
Test loss: 1.3619, Test accuracy: 0.7037
Test loss: 1.7100, Test accuracy: 0.6586
Test loss: 1.8846, Test accuracy: 0.6740
Test loss: 2.3973, Test accuracy: 0.6175
Test loss: 2.4947, Test accuracy: 0.5672
Test loss: 1.5699, Test accuracy: 0.6523
