Test loss: 0.0005, Test accuracy: 1.0000
Test loss: 0.0002, Test accuracy: 1.0000
Test loss: 0.0001, Test accuracy: 1.0000
Test loss: 0.0001, Test accuracy: 1.0000
Test loss: 0.0004, Test accuracy: 1.0000
Test loss: 0.0002, Test accuracy: 1.0000
Test loss: 0.0016, Test accuracy: 1.0000
Test loss: 0.0001, Test accuracy: 1.0000
Test loss: 0.0003, Test accuracy: 1.0000
Test loss: 0.0003, Test accuracy: 1.0000
Test loss: 0.0014, Test accuracy: 1.0000
Test loss: 0.0002, Test accuracy: 1.0000
Test loss: 0.0014, Test accuracy: 1.0000
Test loss: 0.0003, Test accuracy: 1.0000
Test loss: 0.0002, Test accuracy: 1.0000
Test loss: 0.0006, Test accuracy: 1.0000
Test loss: 0.0003, Test accuracy: 1.0000
Test loss: 0.0004, Test accuracy: 1.0000
Test loss: 0.0001, Test accuracy: 1.0000
Test loss: 0.0001, Test accuracy: 1.0000
