Test loss: 0.0030, Test accuracy: 1.0000
Test loss: 0.0002, Test accuracy: 1.0000
Test loss: 0.0001, Test accuracy: 1.0000
Test loss: 0.0002, Test accuracy: 1.0000
Test loss: 0.0001, Test accuracy: 1.0000
Test loss: 0.0009, Test accuracy: 1.0000
Test loss: 0.0002, Test accuracy: 1.0000
Test loss: 0.0001, Test accuracy: 1.0000
Test loss: 0.0003, Test accuracy: 1.0000
Test loss: 0.0002, Test accuracy: 1.0000
Test loss: 0.0002, Test accuracy: 1.0000
Test loss: 0.0015, Test accuracy: 1.0000
Test loss: 0.0001, Test accuracy: 1.0000
Test loss: 0.0002, Test accuracy: 1.0000
Test loss: 0.0001, Test accuracy: 1.0000
Test loss: 0.0009, Test accuracy: 1.0000
Test loss: 0.0001, Test accuracy: 1.0000
Test loss: 0.0001, Test accuracy: 1.0000
Test loss: 0.0004, Test accuracy: 1.0000
Test loss: 0.0002, Test accuracy: 1.0000
