Test loss: 0.0012, Test accuracy: 1.0000
Test loss: 0.0053, Test accuracy: 1.0000
Test loss: 0.0001, Test accuracy: 1.0000
Test loss: 0.0006, Test accuracy: 1.0000
Test loss: 0.0002, Test accuracy: 1.0000
Test loss: 0.0010, Test accuracy: 1.0000
Test loss: 0.0049, Test accuracy: 1.0000
Test loss: 0.0047, Test accuracy: 1.0000
Test loss: 0.0009, Test accuracy: 1.0000
Test loss: 0.0001, Test accuracy: 1.0000
Test loss: 0.0011, Test accuracy: 1.0000
Test loss: 0.0003, Test accuracy: 1.0000
Test loss: 0.0002, Test accuracy: 1.0000
Test loss: 0.0009, Test accuracy: 1.0000
Test loss: 0.0001, Test accuracy: 1.0000
Test loss: 0.0008, Test accuracy: 1.0000
Test loss: 0.0035, Test accuracy: 1.0000
Test loss: 0.0009, Test accuracy: 1.0000
Test loss: 0.0010, Test accuracy: 1.0000
Test loss: 0.0008, Test accuracy: 1.0000
