Test loss: 0.6300, Test accuracy: 0.8159
Test loss: 0.2956, Test accuracy: 0.8794
Test loss: 0.4288, Test accuracy: 0.8526
Test loss: 0.3577, Test accuracy: 0.8652
Test loss: 0.7181, Test accuracy: 0.7903
Test loss: 0.3506, Test accuracy: 0.8766
Test loss: 0.4992, Test accuracy: 0.8288
Test loss: 0.3385, Test accuracy: 0.8683
Test loss: 0.2891, Test accuracy: 0.8823
Test loss: 0.5750, Test accuracy: 0.8173
Test loss: 0.8259, Test accuracy: 0.7670
Test loss: 0.3977, Test accuracy: 0.8589
Test loss: 0.3557, Test accuracy: 0.8633
Test loss: 1.0612, Test accuracy: 0.7308
Test loss: 0.5957, Test accuracy: 0.8143
Test loss: 0.5390, Test accuracy: 0.8248
Test loss: 0.4415, Test accuracy: 0.8481
Test loss: 0.6572, Test accuracy: 0.7936
Test loss: 0.4531, Test accuracy: 0.8419
Test loss: 0.4365, Test accuracy: 0.8436
