Test loss: 0.0040, Test accuracy: 1.0000
Test loss: 0.0038, Test accuracy: 1.0000
Test loss: 0.0010, Test accuracy: 1.0000
Test loss: 0.0016, Test accuracy: 1.0000
Test loss: 0.0020, Test accuracy: 1.0000
Test loss: 0.0013, Test accuracy: 1.0000
Test loss: 0.0039, Test accuracy: 1.0000
Test loss: 0.0117, Test accuracy: 0.9999
Test loss: 0.0035, Test accuracy: 1.0000
Test loss: 0.0032, Test accuracy: 1.0000
Test loss: 0.0045, Test accuracy: 1.0000
Test loss: 0.0042, Test accuracy: 1.0000
Test loss: 0.0013, Test accuracy: 1.0000
Test loss: 0.0023, Test accuracy: 1.0000
Test loss: 0.0021, Test accuracy: 1.0000
Test loss: 0.0009, Test accuracy: 1.0000
Test loss: 0.0009, Test accuracy: 1.0000
Test loss: 0.0008, Test accuracy: 1.0000
Test loss: 0.0024, Test accuracy: 1.0000
Test loss: 0.0086, Test accuracy: 1.0000
