Test loss: 0.0017, Test accuracy: 1.0000
Test loss: 0.0067, Test accuracy: 1.0000
Test loss: 0.0066, Test accuracy: 1.0000
Test loss: 0.0059, Test accuracy: 1.0000
Test loss: 0.0124, Test accuracy: 1.0000
Test loss: 0.0125, Test accuracy: 1.0000
Test loss: 0.0019, Test accuracy: 1.0000
Test loss: 0.0019, Test accuracy: 1.0000
Test loss: 0.0101, Test accuracy: 1.0000
Test loss: 0.0086, Test accuracy: 1.0000
Test loss: 0.0027, Test accuracy: 1.0000
Test loss: 0.0020, Test accuracy: 1.0000
Test loss: 0.0010, Test accuracy: 1.0000
Test loss: 0.0024, Test accuracy: 1.0000
Test loss: 0.0021, Test accuracy: 1.0000
Test loss: 0.0015, Test accuracy: 1.0000
Test loss: 0.0062, Test accuracy: 1.0000
Test loss: 0.0033, Test accuracy: 1.0000
Test loss: 0.0051, Test accuracy: 1.0000
Test loss: 0.0038, Test accuracy: 1.0000
