Test loss: 0.0025, Test accuracy: 1.0000
Test loss: 0.0032, Test accuracy: 1.0000
Test loss: 0.0019, Test accuracy: 1.0000
Test loss: 0.0053, Test accuracy: 1.0000
Test loss: 0.0087, Test accuracy: 1.0000
Test loss: 0.0012, Test accuracy: 1.0000
Test loss: 0.0070, Test accuracy: 1.0000
Test loss: 0.0012, Test accuracy: 1.0000
Test loss: 0.0008, Test accuracy: 1.0000
Test loss: 0.0066, Test accuracy: 1.0000
Test loss: 0.0075, Test accuracy: 1.0000
Test loss: 0.0031, Test accuracy: 1.0000
Test loss: 0.0039, Test accuracy: 1.0000
Test loss: 0.0041, Test accuracy: 1.0000
Test loss: 0.0038, Test accuracy: 1.0000
Test loss: 0.0011, Test accuracy: 1.0000
Test loss: 0.0013, Test accuracy: 1.0000
Test loss: 0.0014, Test accuracy: 1.0000
Test loss: 0.0009, Test accuracy: 1.0000
Test loss: 0.0009, Test accuracy: 1.0000
