Test loss: 3.9722, Test accuracy: 0.1865
Test loss: 4.4672, Test accuracy: 0.1336
Test loss: 3.8019, Test accuracy: 0.2809
Test loss: 2.8029, Test accuracy: 0.2353
Test loss: 4.1292, Test accuracy: 0.1883
Test loss: 3.5448, Test accuracy: 0.1637
Test loss: 3.9606, Test accuracy: 0.1482
Test loss: 4.1857, Test accuracy: 0.1643
Test loss: 4.3477, Test accuracy: 0.1258
Test loss: 3.8607, Test accuracy: 0.2177
Test loss: 3.3403, Test accuracy: 0.2647
Test loss: 3.4770, Test accuracy: 0.1737
Test loss: 3.3781, Test accuracy: 0.1715
Test loss: 4.0463, Test accuracy: 0.1542
Test loss: 4.1744, Test accuracy: 0.1145
Test loss: 3.6302, Test accuracy: 0.1258
Test loss: 3.8775, Test accuracy: 0.1193
Test loss: 3.9297, Test accuracy: 0.1726
Test loss: 3.6344, Test accuracy: 0.1834
Test loss: 3.5801, Test accuracy: 0.2090
