Test loss: 0.1242, Test accuracy: 0.9475
Test loss: 0.3319, Test accuracy: 0.8686
Test loss: 0.1000, Test accuracy: 0.9568
Test loss: 0.2621, Test accuracy: 0.8729
Test loss: 0.1251, Test accuracy: 0.9537
Test loss: 0.0471, Test accuracy: 0.9884
Test loss: 0.0886, Test accuracy: 0.9571
Test loss: 0.2262, Test accuracy: 0.9070
Test loss: 0.1651, Test accuracy: 0.9125
Test loss: 0.0796, Test accuracy: 0.9700
Test loss: 0.0485, Test accuracy: 0.9921
Test loss: 0.3064, Test accuracy: 0.8677
Test loss: 0.1443, Test accuracy: 0.9306
Test loss: 0.1310, Test accuracy: 0.9423
Test loss: 0.2581, Test accuracy: 0.8694
Test loss: 0.1023, Test accuracy: 0.9518
Test loss: 0.1876, Test accuracy: 0.8946
Test loss: 0.2077, Test accuracy: 0.9104
Test loss: 0.0356, Test accuracy: 0.9962
Test loss: 0.3616, Test accuracy: 0.8605
