Test loss: 0.1319, Test accuracy: 0.9264
Test loss: 0.2106, Test accuracy: 0.8957
Test loss: 0.1253, Test accuracy: 0.9346
Test loss: 0.2726, Test accuracy: 0.8764
Test loss: 0.4303, Test accuracy: 0.8481
Test loss: 0.1692, Test accuracy: 0.9258
Test loss: 0.0780, Test accuracy: 0.9699
Test loss: 0.1553, Test accuracy: 0.9161
Test loss: 0.1650, Test accuracy: 0.9087
Test loss: 0.1653, Test accuracy: 0.9277
Test loss: 0.2610, Test accuracy: 0.8924
Test loss: 0.1240, Test accuracy: 0.9364
Test loss: 0.1449, Test accuracy: 0.9208
Test loss: 0.5124, Test accuracy: 0.8109
Test loss: 0.1944, Test accuracy: 0.9067
Test loss: 0.2897, Test accuracy: 0.8684
Test loss: 0.3563, Test accuracy: 0.8581
Test loss: 0.2952, Test accuracy: 0.8772
Test loss: 0.1830, Test accuracy: 0.9213
Test loss: 0.1997, Test accuracy: 0.9009
