Test loss: 0.2449, Test accuracy: 0.8836
Test loss: 0.3247, Test accuracy: 0.8574
Test loss: 0.2574, Test accuracy: 0.8926
Test loss: 0.3740, Test accuracy: 0.8539
Test loss: 0.1130, Test accuracy: 0.9429
Test loss: 0.1211, Test accuracy: 0.9458
Test loss: 0.2573, Test accuracy: 0.8729
Test loss: 0.1914, Test accuracy: 0.9035
Test loss: 0.0654, Test accuracy: 0.9783
Test loss: 0.1721, Test accuracy: 0.9136
Test loss: 0.0922, Test accuracy: 0.9565
Test loss: 0.2380, Test accuracy: 0.8824
Test loss: 0.1448, Test accuracy: 0.9185
Test loss: 0.4230, Test accuracy: 0.8377
Test loss: 0.3823, Test accuracy: 0.8496
Test loss: 0.2972, Test accuracy: 0.8592
Test loss: 0.1089, Test accuracy: 0.9534
Test loss: 0.1819, Test accuracy: 0.9190
Test loss: 0.0489, Test accuracy: 0.9888
Test loss: 0.2837, Test accuracy: 0.8652
