Test loss: 1.0026, Test accuracy: 0.7185
Test loss: 0.8211, Test accuracy: 0.7510
Test loss: 1.2554, Test accuracy: 0.6151
Test loss: 1.7992, Test accuracy: 0.6218
Test loss: 1.2413, Test accuracy: 0.6862
Test loss: 0.8110, Test accuracy: 0.7440
Test loss: 1.0331, Test accuracy: 0.7120
Test loss: 1.5679, Test accuracy: 0.6022
Test loss: 0.4901, Test accuracy: 0.8227
Test loss: 1.0485, Test accuracy: 0.6989
Test loss: 1.2130, Test accuracy: 0.6630
Test loss: 1.3784, Test accuracy: 0.6676
Test loss: 1.3433, Test accuracy: 0.6661
Test loss: 1.7829, Test accuracy: 0.6215
Test loss: 1.1565, Test accuracy: 0.6858
Test loss: 0.8625, Test accuracy: 0.7386
Test loss: 1.2351, Test accuracy: 0.6376
Test loss: 0.6518, Test accuracy: 0.7780
Test loss: 0.8755, Test accuracy: 0.7444
Test loss: 1.0449, Test accuracy: 0.6326
