Test loss: 1.7773, Test accuracy: 0.6199
Test loss: 0.7077, Test accuracy: 0.7123
Test loss: 1.1112, Test accuracy: 0.6910
Test loss: 1.0878, Test accuracy: 0.6161
Test loss: 1.3331, Test accuracy: 0.6492
Test loss: 0.9571, Test accuracy: 0.7293
Test loss: 1.3050, Test accuracy: 0.6703
Test loss: 1.1360, Test accuracy: 0.6891
Test loss: 0.6512, Test accuracy: 0.7800
Test loss: 0.8708, Test accuracy: 0.7448
Test loss: 0.7351, Test accuracy: 0.7591
Test loss: 1.1320, Test accuracy: 0.6519
Test loss: 1.3235, Test accuracy: 0.6084
Test loss: 0.8697, Test accuracy: 0.7466
Test loss: 0.7276, Test accuracy: 0.7614
Test loss: 1.4586, Test accuracy: 0.6448
Test loss: 1.2903, Test accuracy: 0.6676
Test loss: 1.2294, Test accuracy: 0.6740
Test loss: 0.9230, Test accuracy: 0.6870
Test loss: 1.1195, Test accuracy: 0.6996
