Test loss: 1.0496, Test accuracy: 0.7001
Test loss: 1.1993, Test accuracy: 0.6793
Test loss: 0.9795, Test accuracy: 0.7238
Test loss: 0.6533, Test accuracy: 0.7455
Test loss: 1.7841, Test accuracy: 0.6389
Test loss: 0.7541, Test accuracy: 0.6634
Test loss: 1.1352, Test accuracy: 0.6921
Test loss: 1.2266, Test accuracy: 0.6908
Test loss: 1.2173, Test accuracy: 0.6096
Test loss: 1.6558, Test accuracy: 0.6463
Test loss: 0.6812, Test accuracy: 0.7717
Test loss: 1.3228, Test accuracy: 0.5929
Test loss: 0.9765, Test accuracy: 0.7280
Test loss: 0.5023, Test accuracy: 0.8193
Test loss: 1.0078, Test accuracy: 0.6801
Test loss: 0.7976, Test accuracy: 0.7478
Test loss: 0.5387, Test accuracy: 0.8119
Test loss: 1.3369, Test accuracy: 0.6580
Test loss: 0.7768, Test accuracy: 0.7048
Test loss: 1.4152, Test accuracy: 0.6685
