Test loss: 0.6815, Test accuracy: 0.7789
Test loss: 1.5765, Test accuracy: 0.6423
Test loss: 0.5101, Test accuracy: 0.8227
Test loss: 1.0667, Test accuracy: 0.6980
Test loss: 1.3627, Test accuracy: 0.5757
Test loss: 1.6900, Test accuracy: 0.6328
Test loss: 1.1346, Test accuracy: 0.7090
Test loss: 0.8472, Test accuracy: 0.7233
Test loss: 1.2968, Test accuracy: 0.6658
Test loss: 0.8822, Test accuracy: 0.7441
Test loss: 0.6635, Test accuracy: 0.7912
Test loss: 1.1272, Test accuracy: 0.7097
Test loss: 0.9482, Test accuracy: 0.7336
Test loss: 0.9985, Test accuracy: 0.7168
Test loss: 2.1182, Test accuracy: 0.6074
Test loss: 0.9409, Test accuracy: 0.7342
Test loss: 1.2112, Test accuracy: 0.6859
Test loss: 1.3473, Test accuracy: 0.6870
Test loss: 1.2300, Test accuracy: 0.6616
Test loss: 1.3308, Test accuracy: 0.6710
