Test loss: 0.6927, Test accuracy: 0.5038
Test loss: 1.0398, Test accuracy: 0.7314
Test loss: 0.6955, Test accuracy: 0.5000
Test loss: 0.9534, Test accuracy: 0.7343
Test loss: 0.8738, Test accuracy: 0.7462
Test loss: 0.6931, Test accuracy: 0.5000
Test loss: 1.2966, Test accuracy: 0.6286
Test loss: 0.8393, Test accuracy: 0.7551
Test loss: 1.2323, Test accuracy: 0.6964
Test loss: 0.8538, Test accuracy: 0.7111
Test loss: 0.6932, Test accuracy: 0.5000
Test loss: 0.6925, Test accuracy: 0.5000
Test loss: 0.8865, Test accuracy: 0.6941
Test loss: 0.8662, Test accuracy: 0.6641
Test loss: 0.9864, Test accuracy: 0.6998
Test loss: 0.4996, Test accuracy: 0.8205
Test loss: 0.4661, Test accuracy: 0.8058
Test loss: 1.6934, Test accuracy: 0.6412
Test loss: 1.6273, Test accuracy: 0.5894
Test loss: 0.6051, Test accuracy: 0.7987
