Test loss: 1.0513, Test accuracy: 0.7038
Test loss: 1.1900, Test accuracy: 0.6717
Test loss: 0.7748, Test accuracy: 0.6859
Test loss: 0.9077, Test accuracy: 0.7248
Test loss: 1.2350, Test accuracy: 0.6838
Test loss: 0.8601, Test accuracy: 0.7421
Test loss: 1.1436, Test accuracy: 0.6781
Test loss: 1.4449, Test accuracy: 0.6699
Test loss: 1.0992, Test accuracy: 0.7003
Test loss: 0.7707, Test accuracy: 0.7459
Test loss: 1.8529, Test accuracy: 0.6210
Test loss: 1.1540, Test accuracy: 0.6958
Test loss: 1.1694, Test accuracy: 0.6989
Test loss: 0.7051, Test accuracy: 0.7599
Test loss: 1.4432, Test accuracy: 0.6229
Test loss: 1.3112, Test accuracy: 0.6419
Test loss: 0.5699, Test accuracy: 0.7964
Test loss: 1.6674, Test accuracy: 0.4650
Test loss: 0.7011, Test accuracy: 0.7683
Test loss: 0.9343, Test accuracy: 0.7300
