Test loss: 1.3778, Test accuracy: 0.6647
Test loss: 1.7795, Test accuracy: 0.6281
Test loss: 0.7387, Test accuracy: 0.7585
Test loss: 0.8920, Test accuracy: 0.7277
Test loss: 0.9974, Test accuracy: 0.6418
Test loss: 1.1950, Test accuracy: 0.6958
Test loss: 1.2366, Test accuracy: 0.6864
Test loss: 0.7771, Test accuracy: 0.7566
Test loss: 0.6552, Test accuracy: 0.7423
Test loss: 1.1291, Test accuracy: 0.6920
Test loss: 1.0667, Test accuracy: 0.6779
Test loss: 1.2752, Test accuracy: 0.6587
Test loss: 1.2354, Test accuracy: 0.6772
Test loss: 1.1356, Test accuracy: 0.6879
Test loss: 0.8707, Test accuracy: 0.7367
Test loss: 0.8266, Test accuracy: 0.7337
Test loss: 1.1316, Test accuracy: 0.6767
Test loss: 1.2306, Test accuracy: 0.6955
Test loss: 1.0610, Test accuracy: 0.7026
Test loss: 0.5557, Test accuracy: 0.8122
