Test loss: 6.0664, Test accuracy: 0.0403
Test loss: 6.1467, Test accuracy: 0.0258
Test loss: 5.9154, Test accuracy: 0.0778
Test loss: 6.2713, Test accuracy: 0.0293
Test loss: 5.8042, Test accuracy: 0.0657
Test loss: 6.5196, Test accuracy: 0.0864
Test loss: 6.6890, Test accuracy: 0.0604
Test loss: 7.2113, Test accuracy: 0.0164
Test loss: 7.0274, Test accuracy: 0.0671
Test loss: 5.6288, Test accuracy: 0.0718
Test loss: 5.9924, Test accuracy: 0.0645
Test loss: 6.3960, Test accuracy: 0.0309
Test loss: 6.1456, Test accuracy: 0.0373
Test loss: 5.7174, Test accuracy: 0.0367
Test loss: 6.6137, Test accuracy: 0.0258
Test loss: 6.2807, Test accuracy: 0.0270
Test loss: 5.5950, Test accuracy: 0.0448
Test loss: 7.1045, Test accuracy: 0.0363
Test loss: 5.4000, Test accuracy: 0.0399
Test loss: 6.0804, Test accuracy: 0.0443
