Test loss: 1.0311, Test accuracy: 0.7327
Test loss: 0.4278, Test accuracy: 0.8474
Test loss: 1.0478, Test accuracy: 0.7355
Test loss: 0.4640, Test accuracy: 0.8454
Test loss: 0.6765, Test accuracy: 0.7874
Test loss: 0.6796, Test accuracy: 0.7774
Test loss: 0.5770, Test accuracy: 0.8122
Test loss: 0.9710, Test accuracy: 0.7296
Test loss: 0.8606, Test accuracy: 0.7625
Test loss: 0.9966, Test accuracy: 0.7344
Test loss: 1.0041, Test accuracy: 0.7364
Test loss: 0.8349, Test accuracy: 0.7553
Test loss: 1.0591, Test accuracy: 0.7286
Test loss: 0.7791, Test accuracy: 0.7757
Test loss: 0.8863, Test accuracy: 0.7588
Test loss: 0.8866, Test accuracy: 0.7517
Test loss: 0.8015, Test accuracy: 0.7644
Test loss: 1.0289, Test accuracy: 0.7279
Test loss: 0.6649, Test accuracy: 0.7962
Test loss: 1.4651, Test accuracy: 0.6845
