Test loss: 1.0368, Test accuracy: 0.7285
Test loss: 0.9859, Test accuracy: 0.7417
Test loss: 0.7250, Test accuracy: 0.7854
Test loss: 0.9967, Test accuracy: 0.7413
Test loss: 0.6132, Test accuracy: 0.8012
Test loss: 0.8054, Test accuracy: 0.7657
Test loss: 0.6979, Test accuracy: 0.7815
Test loss: 0.8155, Test accuracy: 0.7624
Test loss: 0.8141, Test accuracy: 0.7666
Test loss: 0.6927, Test accuracy: 0.7831
Test loss: 1.0273, Test accuracy: 0.7315
Test loss: 1.0005, Test accuracy: 0.7425
Test loss: 1.0672, Test accuracy: 0.7381
Test loss: 0.4193, Test accuracy: 0.8490
Test loss: 0.6328, Test accuracy: 0.7914
Test loss: 1.0111, Test accuracy: 0.7384
Test loss: 0.4777, Test accuracy: 0.8390
Test loss: 0.8905, Test accuracy: 0.7509
Test loss: 1.3477, Test accuracy: 0.6992
Test loss: 0.9018, Test accuracy: 0.7451
