Test loss: 0.7079, Test accuracy: 0.7795
Test loss: 1.0948, Test accuracy: 0.7212
Test loss: 0.7798, Test accuracy: 0.7843
Test loss: 0.9745, Test accuracy: 0.7427
Test loss: 0.9967, Test accuracy: 0.7325
Test loss: 1.0602, Test accuracy: 0.7320
Test loss: 1.0066, Test accuracy: 0.7382
Test loss: 1.0118, Test accuracy: 0.7422
Test loss: 1.3919, Test accuracy: 0.6847
Test loss: 0.5265, Test accuracy: 0.8194
Test loss: 1.1913, Test accuracy: 0.7064
Test loss: 0.7827, Test accuracy: 0.7716
Test loss: 1.1238, Test accuracy: 0.7126
Test loss: 0.7550, Test accuracy: 0.7715
Test loss: 1.2588, Test accuracy: 0.6991
Test loss: 0.6726, Test accuracy: 0.7900
Test loss: 1.0104, Test accuracy: 0.7323
Test loss: 0.7017, Test accuracy: 0.7866
Test loss: 0.5841, Test accuracy: 0.8102
Test loss: 0.9046, Test accuracy: 0.7592
