Test loss: 1.1016, Test accuracy: 0.7309
Test loss: 0.7624, Test accuracy: 0.7721
Test loss: 0.7082, Test accuracy: 0.7770
Test loss: 0.7692, Test accuracy: 0.7696
Test loss: 1.1924, Test accuracy: 0.7144
Test loss: 0.9081, Test accuracy: 0.7409
Test loss: 0.7268, Test accuracy: 0.7793
Test loss: 1.1704, Test accuracy: 0.7093
Test loss: 0.8243, Test accuracy: 0.7633
Test loss: 1.2041, Test accuracy: 0.7240
Test loss: 0.8511, Test accuracy: 0.7591
Test loss: 0.7988, Test accuracy: 0.7710
Test loss: 1.1028, Test accuracy: 0.7298
Test loss: 0.8305, Test accuracy: 0.7586
Test loss: 0.8272, Test accuracy: 0.7601
Test loss: 0.9342, Test accuracy: 0.7448
Test loss: 0.9124, Test accuracy: 0.7532
Test loss: 0.6050, Test accuracy: 0.8014
Test loss: 1.1391, Test accuracy: 0.7211
Test loss: 0.6754, Test accuracy: 0.7842
