Test loss: 0.6067, Test accuracy: 0.7951
Test loss: 0.3091, Test accuracy: 0.8753
Test loss: 0.3453, Test accuracy: 0.8615
Test loss: 0.8212, Test accuracy: 0.7552
Test loss: 0.4553, Test accuracy: 0.8333
Test loss: 0.2699, Test accuracy: 0.8827
Test loss: 0.6365, Test accuracy: 0.7887
Test loss: 0.9011, Test accuracy: 0.7205
Test loss: 0.5528, Test accuracy: 0.8102
Test loss: 0.6708, Test accuracy: 0.7762
Test loss: 0.6938, Test accuracy: 0.7737
Test loss: 0.3053, Test accuracy: 0.8769
Test loss: 0.7446, Test accuracy: 0.7459
Test loss: 0.2071, Test accuracy: 0.9128
Test loss: 0.5607, Test accuracy: 0.7944
Test loss: 0.8679, Test accuracy: 0.7325
Test loss: 0.8173, Test accuracy: 0.7550
Test loss: 0.4871, Test accuracy: 0.8232
Test loss: 0.6611, Test accuracy: 0.7831
Test loss: 0.3756, Test accuracy: 0.8542
