Test loss: 0.3734, Test accuracy: 0.8565
Test loss: 0.2627, Test accuracy: 0.8929
Test loss: 1.1764, Test accuracy: 0.6898
Test loss: 0.8173, Test accuracy: 0.7588
Test loss: 0.4463, Test accuracy: 0.8380
Test loss: 0.4253, Test accuracy: 0.8363
Test loss: 0.4803, Test accuracy: 0.8142
Test loss: 1.1381, Test accuracy: 0.6994
Test loss: 0.1488, Test accuracy: 0.9310
Test loss: 0.8476, Test accuracy: 0.7563
Test loss: 0.5306, Test accuracy: 0.8140
Test loss: 1.2604, Test accuracy: 0.6818
Test loss: 0.6255, Test accuracy: 0.7822
Test loss: 0.5625, Test accuracy: 0.8105
Test loss: 0.9224, Test accuracy: 0.7221
Test loss: 0.4547, Test accuracy: 0.8276
Test loss: 0.5481, Test accuracy: 0.7965
Test loss: 0.9355, Test accuracy: 0.7303
Test loss: 0.2700, Test accuracy: 0.8800
Test loss: 0.7925, Test accuracy: 0.7497
