Test loss: 0.3585, Test accuracy: 0.8680
Test loss: 0.9572, Test accuracy: 0.7610
Test loss: 0.6893, Test accuracy: 0.8075
Test loss: 0.4929, Test accuracy: 0.8294
Test loss: 0.3237, Test accuracy: 0.8722
Test loss: 0.5626, Test accuracy: 0.8076
Test loss: 0.3044, Test accuracy: 0.8841
Test loss: 0.6322, Test accuracy: 0.8103
Test loss: 0.5961, Test accuracy: 0.8515
Test loss: 0.2159, Test accuracy: 0.9042
Test loss: 0.3280, Test accuracy: 0.8799
Test loss: 0.7926, Test accuracy: 0.7704
Test loss: 0.4095, Test accuracy: 0.8575
Test loss: 0.2328, Test accuracy: 0.9076
Test loss: 0.6553, Test accuracy: 0.8204
Test loss: 0.2864, Test accuracy: 0.9000
Test loss: 0.9243, Test accuracy: 0.7458
Test loss: 0.3103, Test accuracy: 0.8833
Test loss: 0.5321, Test accuracy: 0.8224
Test loss: 0.6065, Test accuracy: 0.7956
