Test loss: 0.6381, Test accuracy: 0.8005
Test loss: 0.5613, Test accuracy: 0.8134
Test loss: 0.9415, Test accuracy: 0.7514
Test loss: 0.3849, Test accuracy: 0.8624
Test loss: 0.3038, Test accuracy: 0.8787
Test loss: 0.2690, Test accuracy: 0.8997
Test loss: 0.5715, Test accuracy: 0.8185
Test loss: 0.7023, Test accuracy: 0.7802
Test loss: 0.6584, Test accuracy: 0.8021
Test loss: 0.3119, Test accuracy: 0.8750
Test loss: 0.3831, Test accuracy: 0.8573
Test loss: 0.3026, Test accuracy: 0.8792
Test loss: 0.2440, Test accuracy: 0.8963
Test loss: 0.4553, Test accuracy: 0.8509
Test loss: 0.6431, Test accuracy: 0.8047
Test loss: 0.5336, Test accuracy: 0.8294
Test loss: 0.3793, Test accuracy: 0.8642
Test loss: 0.5269, Test accuracy: 0.8170
Test loss: 0.1239, Test accuracy: 0.9440
Test loss: 0.6257, Test accuracy: 0.7995
